ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location,Historical Wards 2003-2015,Zip Codes,Community Areas,Census Tracts,Wards,Boundaries - ZIP Codes,Police Districts,Police Beats
11346168,JB303125,06/10/2018 11:55:00 PM,109XX S DR MARTIN LUTHER KING JR DR,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,false,0513,005,9,49,08B,,,2018,06/17/2018 03:50:56 PM,,,,,,,,,,,
11343713,JB301607,06/10/2018 11:50:00 PM,027XX S CHRISTIANA AVE,4387,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,RESIDENCE,true,false,1032,010,22,30,26,1154472,1885702,2018,06/17/2018 03:50:56 PM,41.842186561,-87.708628579,"(41.842186561, -87.708628579)",14,21569,32,146,28,57,21,166
11343797,JB301647,06/10/2018 11:50:00 PM,021XX S STATE ST,0460,BATTERY,SIMPLE,SIDEWALK,false,false,0131,001,3,33,08B,1176651,1890114,2018,06/17/2018 03:50:56 PM,41.853821891,-87.627105423,"(41.853821891, -87.627105423)",12,21194,34,330,9,40,22,94
11343824,JB301588,06/10/2018 11:50:00 PM,012XX S CHRISTIANA AVE,0340,ROBBERY,ATTEMPT: STRONGARM-NO WEAPON,RESIDENCE,false,false,1021,010,24,29,03,1154226,1894262,2018,06/17/2018 03:50:56 PM,41.865681095,-87.709303043,"(41.865681095, -87.709303043)",36,21569,30,34,14,57,21,153
11344424,JB301586,06/10/2018 11:48:00 PM,014XX N MAPLEWOOD AVE,0560,ASSAULT,SIMPLE,APARTMENT,false,true,1423,014,26,24,08A,1159147,1909387,2018,06/17/2018 03:50:56 PM,41.907085877,-87.690821997,"(41.907085877, -87.690821997)",10,21560,25,302,41,4,7,62
11343717,JB301611,06/10/2018 11:47:00 PM,006XX S SACRAMENTO BLVD,1822,NARCOTICS,MANU/DEL:CANNABIS OVER 10 GMS,STREET,true,false,1135,011,2,27,18,1156465,1897127,2018,06/17/2018 03:50:56 PM,41.873497996,-87.701006041,"(41.873497996, -87.701006041)",11,21184,28,36,23,28,16,140
11345756,JB304136,06/10/2018 11:45:00 PM,0000X W Hubbard st,0890,THEFT,FROM BUILDING,BAR OR TAVERN,false,false,1831,018,42,8,06,1176050,1903312,2018,06/17/2018 03:50:56 PM,41.890051565,-87.62891376,"(41.890051565, -87.62891376)",22,4446,37,669,36,55,14,73
11343754,JB301619,06/10/2018 11:40:00 PM,009XX N LAKE SHORE DR,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,LAKEFRONT/WATERFRONT/RIVERBANK,true,false,1833,018,42,8,18,1178580,1907129,2018,06/17/2018 03:50:56 PM,41.900468216,-87.619505951,"(41.900468216, -87.619505951)",22,21182,37,105,11,6,14,71
11343707,JB301593,06/10/2018 11:35:00 PM,064XX S ROCKWELL ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,true,true,0825,008,15,66,08B,1160145,1861903,2018,06/17/2018 03:50:56 PM,41.776764004,-87.688465583,"(41.776764004, -87.688465583)",44,21867,64,319,2,58,13,274
11345969,JB304468,06/10/2018 11:30:00 PM,029XX N LAWNDALE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,2523,025,30,21,08B,1150877,1919633,2018,06/17/2018 03:50:56 PM,41.935367779,-87.720932626,"(41.935367779, -87.720932626)",27,21538,22,71,21,39,6,175
